id	gdp_2008	gdp_pps_2008	pop_t_2008
DE805	1696000	1628000	58,027
DE806	1203000	1155000	45,012
DE807	2337000	2244000	118,677
DE808	1506000	1446000	83,5
DE809	1989000	1909000	102,762
DE80A	2426000	2329000	126,099
DE80B	1169000	1122000	80,924
DE80C	1353000	1298000	66,503
DE80D	1740000	1671000	109,448
DE80E	1870000	1795000	118,677
DE80F	1754000	1684000	108,138
DE80G	1610000	1545000	99,959
DE80H	1364000	1309000	69,716
DE80I	1292000	1241000	75,392
DE911	8728000	8379000	245,81
DE912	3712000	3563000	105,32
DE913	9234000	8864000	120,009
DE914	2742000	2632000	174,401
DE915	6882000	6607000	261,26
DE916	3361000	3227000	148,091
DE917	1787000	1715000	95,871
DE918	2988000	2868000	144,044
DE919	2392000	2296000	80,3
DE91A	2585000	2482000	133,56
DE91B	2001000	1921000	124,652
DE922	5036000	4834000	215,142
DE923	4169000	4003000	157,867
DE925	6381000	6126000	288,623
DE926	1730000	1661000	76,103
DE927	2780000	2668000	124,895
DE928	3136000	3010000	164,172
DE929	39245000	37674000	1130,039
DE931	4201000	4033000	181,115
DE932	3573000	3430000	202,933
DE933	4305000	4133000	243,888
DE934	1008000	968000	50,465
DE935	3804000	3652000	176,445
DE936	1852000	1778000	112,679
DE937	3937000	3779000	165,074
DE938	3694000	3546000	141,692
DE939	5335000	5121000	197,091
DE93A	2212000	2124000	95,983
DE93B	3342000	3208000	133,767
DE941	1610000	1545000	75,135
DE942	2133000	2048000	51,714
DE943	6047000	5805000	159,563
DE944	6649000	6383000	162,87
DE945	2805000	2693000	82,192
DE946	2636000	2531000	117,041
DE947	3500000	3359000	190,293
DE948	3860000	3706000	157,164
DE949	9179000	8811000	313,533
DE94A	1958000	1879000	100,779
DE94B	3225000	3096000	135,27
DE94C	3635000	3490000	165,088
DE94D	2386000	2290000	126,131
DE94E	8140000	7814000	358,852
DE94F	4259000	4088000	134,404
DE94G	2566000	2463000	92,622
DE94H	1107000	1062000	57,742
DEA11	42552000	40848000	581,122
DEA12	15321000	14708000	496,665
DEA13	22190000	21302000	582,14
DEA14	7933000	7615000	236,516
DEA15	6889000	6613000	260,018
DEA16	5833000	5599000	168,925
DEA17	4792000	4601000	217,108
DEA18	3469000	3330000	113,935
DEA19	4041000	3879000	162,575
DEA1A	10405000	9989000	356,42
DEA1B	8576000	8233000	308,928
DEA1C	15227000	14618000	502,045
DEA1D	15266000	14655000	444,515
DEA1E	7094000	6810000	303,331
DEA1F	9752000	9361000	474,045
DEA21	9139000	8773000	259,03
DEA22	13581000	13037000	316,416
DEA23	42856000	41140000	995,397
DEA24	6439000	6181000	161,345
DEA25	6676000	6409000	309,929
DEA26	6304000	6051000	270,725
DEA27	12835000	12322000	464,209
DEA28	4458000	4280000	192,973
DEA29	4660000	4473000	256,85
DEA2A	7905000	7588000	286,801
DEA2B	5759000	5529000	278,345
DEA2C	12623000	12118000	599,042
DEA31	2206000	2118000	118,597
DEA32	7263000	6972000	264,765
DEA33	12232000	11742000	272,951
DEA34	9962000	9563000	370,196
DEA35	4767000	4576000	221,381
DEA36	12991000	12471000	639,811
DEA37	10739000	10309000	445,019
DEA38	7012000	6732000	281,641
DEA41	10686000	10258000	324,912
DEA42	12167000	11680000	354,239
DEA43	6898000	6622000	252,949
DEA44	3196000	3068000	151,277
DEA45	8803000	8450000	357,582
DEA46	9240000	8870000	319,401
DEA47	8532000	8190000	298,838
DEA51	11736000	11266000	381,542
DEA52	19003000	18242000	586,909
DEA53	6221000	5972000	193,748
DEA54	4310000	4138000	183,065
DEA55	3356000	3222000	168,454
DEA56	8378000	8043000	338,466
DEA57	7588000	7284000	273,898
DEA58	12793000	12281000	441,704
DEA59	4453000	4275000	140,973
DEA5A	9558000	9175000	288,441
DEA5B	8170000	7843000	307,159
DEA5C	9499000	9119000	419,353
DEB11	5403000	5186000	106,087
DEB12	2485000	2386000	129,096
DEB13	2939000	2822000	134,912
DEB14	3738000	3588000	157,471
DEB15	1891000	1815000	86,469
DEB16	1421000	1364000	64,863
DEB17	4968000	4769000	212,944
DEB18	4513000	4332000	183,618
DEB19	2650000	2544000	104,263
DEB1A	2440000	2342000	126,258
DEB1B	5238000	5028000	201,938
DEB21	3937000	3779000	103,888
DEB22	2815000	2702000	113,043
DEB23	2194000	2107000	95,219
DEB24	1428000	1371000	62,813
DEB25	2336000	2243000	141,009
DEB31	1363000	1309000	47,09
DEB32	3570000	3427000	97,77
DEB33	1460000	1402000	43,063
DEB34	9482000	9103000	163,777
DEB35	8178000	7851000	198,118
DEB36	1259000	1209000	53,683
DEB37	1339000	1285000	41,875
DEB38	1846000	1772000	50,673
DEB39	2264000	2174000	82,29
DEB3A	1382000	1327000	34,719
DEB3B	2495000	2395000	125,697
DEB3C	2452000	2354000	134,341
DEB3D	1638000	1572000	77,877
DEB3E	3507000	3367000	125,822
DEB3F	1723000	1654000	107,875
DEB3G	1170000	1123000	74,876
DEB3H	2058000	1976000	109,957
DEB3I	2042000	1960000	149,202
DEB3J	4769000	4578000	201,451
DEB3K	1355000	1301000	101,596
DEC01	12206000	11717000	336,826
DEC02	2306000	2214000	106,001
DEC03	2883000	2768000	141,426
DEC04	6794000	6522000	207,723
