del;delnom
TS211B;Kondar
TS211C;Sidi El Héni
TS211D;Msaken
TS211E;Kalaâ Seghira
TS2120;Monastir
TS2121;Ouerdanine
TS2122;Sahline
TS2123;Zermadine
TS2124;Beni Hassen
TS2125;Jammel
TS2126;Bembla
TS2127;Moknine
TS2128;Bekalta
TS2129;Teboulba
TS212A;Ksar Helal
TS212B;Ksibet El Mediouni
TS212C;Sayada-Lamta Bou-Hjar
TS2130;Mahdia
TS2131;Bou Merdès
TS2132;Ouled Chamekh
TS2133;Chorbane
TS2134;Hebira
TS2135;Essouassi
TS2136;El Djem
TS2137;Chebba
TS2138;Melloulech
TS2139;Sidi Alouane
TS213A;Ksour Essef
TS2140;Sfax Ville
TS2141;Sfax Ouest
TS2142;Sakiet Ezzit
TS2143;Sakiet Eddaïer
TS2144;Sfax Sud
TS2145;Tina
TS2146;Agareb
TS2147;Djebeniana
TS2148;El Amra
TS2149;El Hencha
TS214A;Menzel Chaker
TS214B;Ghraiba
TS214C;Bir ali Ben Kelifa
TS214D;Skhira
TS214E;Mahres
TS214F;Kerkenah
TS2210;Kairouan Nord
TS2211;Kairouan Sud
TS2212;Echebika
TS2213;Sbikha
TS2214;EL Ouslatia
TS2215;Haffouz
TS2216;El Alâa
TS2217;Hajeb el Ayoun
TS2218;Nasrallah
TS2219;Echrarda
TS221A;Bouhajla
TS2220;Kasserine Nord
TS2221;Kasserine Sud
TS2222;Ezzouhour
TS2223;Hassi Ferid
TS2224;Sbeitla
TS2225;Sbiba
TS2226;Djedeliane
TS2227;El Ayoun
TS2228;Thala
TS2229;Hidra
TS222A;Foussana
TS222B;Feriana
TS222C;Majel Bel Abbès
TS2230;Sidi Bouzid Ouest
TS2231;Sidi Bouzid Est
TS2232;Jilma
TS2233;Cebalet Ouled Asker
TS2234;Bir El Hafey
TS2235;Sidi Ali Ben Aoûn
TS2236;Menzel Bouzaïenne
TS2237;Meknassy
TS2238;Souk Jedid
TS2239;Mezzouna
TS223A;Regueb
TS223B;Ouled Haffouz
TS3110;Gabes Medina
TS3111;Gabes Ouest
TS3112;Gabes Sud
TS3113;Ghanouch
TS3114;El Metouia
TS3115;Menzel El Habib
TS3116;El Hamma
TS3117;Matmata
TS3118;Nouvelle Matmata
TS3119;Mareth
TS3120;Medenine Nord
TS3121;Medenine Sud
TS3122;Beni Khedech
TS3123;Ben Guerdane
TS3124;Zarzis
TS3125;Djerba Houmet Souk
TS3126;Djerba Midoun
TS3127;Djerba Ajim
TS3128;Sidi Makhloulf
TS3130;Tataouine Nord
TS3131;Tataouine Sud
TS3132;Smâr
TS3133;Bir Lahmar
TS3134;Ghomrassen
TS3135;Dhehiba
TS3136;Remada
TS3210;Gafsa Nord
TS3211;Sidi Aïch
TS3212;El Ksar
TS3213;Gafsa Sud
TS3214;Oum El Araies
TS3215;Redeyef
TS3216;Metlaoui
TS3217;Mdhila
TS3218;EL Guetar
TS3219;Belkhir
TS321A;Sned
TS3220;Tozeur
TS3221;Degach
TS3222;Tameghza
TS3223;Nefta
TS3224;Hazoua
TS3230;Kebili Sud
TS3231;Kebili Nord
TS3232;Souk El Ahed
TS3233;Douz Nord
TS3234;Douz Sud
TS3235;Faouar
