code;nom;M;Access;IndShimble
TS1228;Balta - Bou Aouane;45176;126,115038167939;300,834100938983
TS113A;Fouchana;66484;126,214427480916;300,597204926307
TS1218;Medjez El Bab;40696;126,316641221374;300,353965679366
TS115A;Soliman;45091;126,575687022901;299,739270743782
TS1135;Bou Mhel El Bassatine;35185;126,633435114504;299,602581955009
TS1143;Mornaguia;33286;126,703435114504;299,437060154294
TS1133;Hammam Lif;38631;126,76927480916;299,281542623417
TS1144;Borj Amri;24440;127,109312977099;298,480915627109
TS1155;El Mida;23879;127,157824427481;298,367043419925
TS1132;El Mourouj;113339;127,611679389313;297,305891621349
TS1136;Ezzahra;33665;127,740496183206;297,006080732018
TS1131;La Nouvelle Medina;45884;127,799694656489;296,868503669865
TS2230;Sidi Bouzid Ouest;69673;128,047938931298;296,292969951616
TS222B;Feriana;49349;128,120648854962;296,124820325308
TS1130;Ben Arous;30378;128,550305343511;295,135075881423
TS111F;El Kabaria;83516;128,893053435114;294,350262570484
TS111D;Sidi Hassine;85425;129,088053435115;293,905618006763
TS1137;Rades;48087;129,668740458015;292,589439737958
TS111H;Djebel Djelloud;26056;129,671297709924;292,583669572036
TS111E;El Ouardia;32936;129,678053435114;292,56842709411
TS1138;Megrine;22189;129,737671755725;292,433983196274
TS214A;Menzel Chaker;34300;129,807061068702;292,27766047378
TS2223;Hassi Ferid;17803;131,032404580153;289,544439359881
TS1147;El Battane;17740;131,240687022901;289,084924673681
TS1224;Ain Draham;38379;131,244809160305;289,075845093401
TS111G;Sidi El Bechir;27517;131,280458015267;288,997347325869
TS111A;Sijoumi;34361;131,400305343511;288,733759202112
TS111C;El Hrairia;98606;131,871984732824;287,701017005273
TS1154;Menzel Temime;62003;131,916335877863;287,604290019582
TS111B;Ezzouhour;39198;131,95820610687;287,513033417648
TS1111;La Medina;25757;132,031679389313;287,353037525692
TS1112;Bab El Bhar;36753;132,356106870229;286,648686028036
TS1159;Takelsa;20705;132,472061068702;286,397779396376
TS1212;Amdoun;22048;132,500763358779;286,33573996405
TS1113;Bab Souika;31762;132,633282442748;286,049650761786
TS1210;Beja Nord;70167;132,870648854962;285,538638134833
TS2148;El Amra;29939;132,973893129771;285,316938755125
TS1119;Le Bardo;68560;133,222900763359;284,783651344816
TS1114;El Omrane;41702;133,514847328244;284,160937014467
TS2234;Bir El Hafey;36019;133,716335877863;283,732753167809
TS1140;Mannouba;55043;133,748091603053;283,665386678842
TS111I;La Goulette;28986;133,76072519084;283,63859472209
TS1116;Ettahrir;22980;134,273396946565;282,555628925034
TS1125;Cite Ettadhamen;82922;134,702786259542;281,654932133595
TS1142;Oued Ellil;66223;134,809923664122;281,431092689169
TS1118;Cite El Khadhra;38860;134,984541984733;281,067028596715
TS1117;El Menzah;46346;135,051755725191;280,927144696577
TS1141;Douar Hicher;83317;135,256717557252;280,50144057413
TS1115;El Omrane Superieur;65237;135,267366412214;280,479358240183
TS2142;Sakiet Ezzit;79735;135,865114503817;279,245369649849
TS1110;Carthage;21127;135,934885496183;279,102042008213
TS111J;Le Kram;60927;135,96;279,050486335227
TS223A;Regueb;61270;136,602251908397;277,738496928873
TS2238;Souk Jedid;18729;136,835076335878;277,265925799683
TS1126;El Mnihla;69247;137,272671755725;276,382062335398
TS1120;Ariana Ville;109500;137,36641221374;276,193455959989
TS1156;Kelibia;58418;137,806564885496;275,311297060932
TS1146;Tebourba;42606;137,825076335878;275,27431967227
TS2143;Sakiet Edda•er;115214;138,641030534351;273,654227582628
TS2144;Sfax Sud;114664;139,03286259542;272,882996249171
TS1145;Djedeida;43216;139,363816793893;272,234967403676
TS1121;Soukra;107829;139,993511450382;271,010447049073
TS111K;La Marsa;82057;140,076259541985;270,850351417085
TS1174;Djoumine;35513;140,408396946565;270,209652322831
TS2235;Sidi Ali Ben Aožn;26452;140,445610687023;270,138055127151
TS222C;Majel Bel Abbes;23569;140,587900763359;269,864646360987
TS1223;Tabarka;46699;141,971755725191;267,234168714345
TS1124;Sidi Thabet;20231;142,184770992366;266,833809678354
TS1157;Hammam El Guezaz;14477;142,944694656489;265,41526576632
TS2140;Sfax Ville;108279;143,204389312977;264,933947235508
TS214F;Kerkenah;14465;143,511641221374;264,366735682532
TS1122;Raoued;77419;143,647709923664;264,116317220086
TS2146;Agareb;38158;143,798893129771;263,838638089507
TS2141;Sfax Ouest;111597;143,998015267176;263,473798939129
TS214C;Bir ali Ben Kelifa;50138;145,245763358779;261,210401217836
TS1158;El Haouaria;39833;145,859770992366;260,110816464418
TS2145;Tina;58029;146,77820610687;258,483225326471
TS3211;Sidi A•ch;8381;147,979122137405;256,385519620186
TS1213;Nefza;51678;149,359541984733;254,015937769918
TS1175;Mateur;48110;149,44427480916;253,871914267617
TS2236;Menzel Bouza•enne;24682;151,043015267176;251,184763857018
TS2237;Meknassy;22442;151,060114503817;251,156331019323
TS1123;Kalaat El Andalous;24367;152,514312977099;248,761597397316
TS1179;Utique;18513;153,47572519084;247,203289477611
TS3214;Oum El Araies;31206;154,852442748092;245,005525575443
TS3210;Gafsa Nord;10016;155,691297709924;243,68545114721
TS214E;Mahres;31849;156,927366412214;241,766015638586
TS321A;Sned;36315;157,287977099237;241,211724009906
TS1176;Ghezala;27005;159,50965648855;237,85208342456
TS214B;Ghraiba;14802;160,215610687023;236,804041500373
TS1177;Menzel Bourguiba;54612;161,507022900763;234,910553366148
TS3213;Gafsa Sud;103697;161,548129770992;234,850778996452
TS2239;Mezzouna;24026;161,771679389313;234,52624257447
TS1178;Tinja;19825;163,118969465649;232,589160208783
TS1173;Sedjnane;42652;164,481984732824;230,661760215045
TS117C;El Alia;26771;165,902671755725;228,686516742779
TS117A;Ghar El Meleh;19004;166,814694656489;227,436223171252
TS3215;Redeyef;27174;167,868511450382;226,008462184712
