code;nom;M;POT
TS111I;La Goulette;28986;50262000,42141
TS1120;Ariana Ville;109500;50377153,40611
TS111J;Le Kram;60927;50522937,67284
TS1110;Carthage;21127;50689109,50277
TS1124;Sidi Thabet;20231;50760883,00054
TS1121;Soukra;107829;51005646,85897
TS111K;La Marsa;82057;51278247,56886
TS1175;Mateur;48110;51331722,00777
TS1122;Raoued;77419;51380357,05417
TS1223;Tabarka;46699;51380452,83903
TS1155;El Mida;23879;51476420,40701
TS1159;Takelsa;20705;51697534,94678
TS1213;Nefza;51678;51836902,35228
TS1179;Utique;18513;52323166,49853
TS1123;Kalaat El Andalous;24367;52587392,16271
TS1176;Ghezala;27005;52848712,40046
TS1154;Menzel Temime;62003;52953417,77819
TS1177;Menzel Bourguiba;54612;53355401,85913
TS1178;Tinja;19825;53493994,13831
TS1173;Sedjnane;42652;53759074,69527
TS117C;El Alia;26771;54277986,93601
TS1156;Kelibia;58418;54636284,08347
TS117A;Ghar El Meleh;19004;54688189,22971
TS117B;Menzel Djemil;43618;55087831,66126
TS1158;El Haouaria;39833;55155155,97229
TS1172;Bizerte Sud;46978;55186386,47801
TS117D;Ras Djebel;55790;55541556,15376
TS1171;Zarzouna;28195;55553606,75841
TS1157;Hammam El Guezaz;14477;55631091,35366
TS1170;Bizerte Nord;77940;56327081,44397
