id;nom;idr;dist
TS3114;El Metouia;0,309;5665,4397076203
TS3219;Belkhir;0,073;63070,4848853057
TS3210;Gafsa Nord;0,132;109561,470419855
TS3213;Gafsa Sud;0,369;132489,806608085
TS3218;EL Guetar;0,144;95196,7388783763
TS3212;El Ksar;0,25;114567,87644342
TS3217;Mdhila;0,118;124107,12649047
TS3216;Metlaoui;0,206;149214,413940675
TS3214;Oum El Araies;0,143;160720,421807259
TS3215;Redeyef;0,194;172747,057862304
TS321A;Sned;0,104;90504,4608268107
TS3211;Sidi Ach;0,146;126841,222059105
TS1224;Ain Draham;0,089;18178,6847528283
TS1228;Balta - Bou Aouane;0,16;30148,3440303587
TS1222;Bou Salem;0,286;45775,3191722983
TS1225;Fernana;0,091;30997,2937424138
TS1226;Ghardimaou;0,188;54394,1579071536
TS1221;Jendouba Nord;0,234;43654,6017057018
TS1220;Jendouba;0,291;52775,8023291581
TS1227;Oued Meliz;0,099;52067,4363734583
TS1223;Tabarka;0,273;6098,58916674531
TS2216;El Alaa;0,092;91817,5891277471
TS221A;Bouhajla;0,155;72536,9836834834
TS2212;Echebika;0,208;67238,7515782366
TS2219;Echrarda;0,189;80596,4489323284
TS2215;Haffouz;0,208;90959,0731533486
TS2217;Hajeb el Ayoun;0,196;106265,500534064
TS2210;Kairouan Nord;0,369;47775,4432950896
TS2211;Kairouan Sud;0,355;53945,9595747942
TS2218;Nasrallah;0,172;93844,0798528949
TS2214;EL Ouslatia;0,141;75452,5240076512
TS2213;Sbikha;0,209;43643,9055841524
TS2227;El Ayoun;0,005;157583,180441428
TS2222;Ezzouhour;0,185;151846,682519262
TS222B;Feriana;0,177;171330,861019015
TS222A;Foussana;0,112;176845,486300687
TS2223;Hassi Ferid;0;132035,56104627
TS2229;Hidra;0,078;152400,666219701
TS2226;Djedeliane;0,108;142673,360559466
TS2220;Kasserine Nord;0,437;159809,339926788
TS2221;Kasserine Sud;0,095;153726,524801025
TS222C;Majel Bel Abbes;0,044;154102,27607085
TS2224;Sbeitla;0,213;142753,091059834
TS2225;Sbiba;0,115;135780,385294681
TS2228;Thala;0,144;149282,821444745
TS3234;Douz Sud;0,215;117222,507467036
TS3235;Faouar;0,178;173846,5552435
TS3231;Kebili Nord;0,311;91005,9095158927
TS3230;Kebili Sud;0,294;100336,060889127
TS3232;Souk El Ahed;0,197;106927,402922015
TS1239;Dahmani;0,218;108803,278621128
TS123A;Es-Sers;0,201;99139,4394915451
TS1237;Djerissa;0,14;122454,294846336
TS1236;Kalaat Khasbah;0,104;134596,512813609
TS1235;Kalaat Snan;0,141;126935,679402608
TS1231;Kef Est;0,337;84489,6009741193
TS1230;Kef Ouest;0,331;86362,0559980949
TS1238;El Ksour;0,171;121946,625321489
TS1232;Nebeur;0,141;67582,8577812761
TS1233;Sakiet Sidi Youssef;0,102;85310,7345355642
TS1234;Tajerouine;0,212;107326,702616937
TS2131;Bou Merdes;0,309;30724,6578906137
TS2137;Chebba;0,392;5282,66458183754
TS2133;Chorbane;0,224;55556,1967624095
TS2136;El Djem;0,327;30391,7668267203
TS2134;Hebira;0,19;67245,8211206194
TS213A;Ksour Essef;0,342;6447,81737945576
TS2130;Mahdia;0,482;9177,76067689271
TS2138;Melloulech;0,259;7984,86844239741
TS2132;Ouled Chamekh;0,175;45757,2901519738
TS2139;Sidi Alouane;0,265;16150,7236992908
TS2135;Essouassi;0,264;45847,8519166546
TS1144;Borj Amri;0,318;33510,449271866
TS1141;Douar Hicher;0,398;12628,6137592136
TS1147;El Battane;0,279;38595,2586140478
TS1145;Djedeida;0,35;26502,8243425238
TS1140;Mannouba;0,57;12130,8387065246
TS1143;Mornaguia;0,383;25399,9827876971
TS1142;Oued Ellil;0,422;18673,4010721147
TS1146;Tebourba;0,319;30539,0831393862
TS3123;Ben Guerdane;0,273;31902,5497442318
TS3122;Beni Khedech;0,139;52811,5930134185
TS3127;Djerba Ajim;0,278;3673,42269498348
TS3126;Djerba Midoun;0,39;3904,24477043075
TS3125;Djerba Houmet Souk;0,437;4011,12067692615
TS3120;Medenine Nord;0,322;26131,3725463491
TS3121;Medenine Sud;0,298;11871,474707684
TS3128;Sidi Makhloulf;0,152;10317,1063275969
TS3124;Zarzis;0,365;9504,93694328268
TS2128;Bekalta;0,388;4112,66996731052
TS2126;Bembla;0,468;7536,36298065446
TS2124;Beni Hassen;0,372;18367,5590577578
TS2125;Jammel;0,466;14180,3983712483
TS212A;Ksar Helal;0,507;3878,43321125528
TS212B;Ksibet El Mediouni;0,441;4456,70698841896
TS2127;Moknine;0,446;13401,7830545629
TS2120;Monastir;0,62;2508,97469847437
TS2121;Ouerdanine;0,411;8624,35302748948
TS2122;Sahline;0,465;3661,27949334665
TS212C;Sayada-Lamta Bou-Hjar;0,472;1181,37104766257
TS2129;Teboulba;0,453;1462,41750024325
TS2123;Zermadine;0,339;24562,3585326589
TS115C;Beni Khalled;0,399;17763,4859402219
TS1152;Beni khiar;0,424;4718,19205736399
TS115E;Bou Argoub;0,35;15224,9925706425
TS1151;Dar Chaabane El Fehri;0,456;9034,09008686605
TS1155;El Mida;0,339;10735,551447057
TS115D;Grombalia;0,458;12900,6150260079
TS1157;Hammam El Guezaz;0,293;3238,54513948578
TS115F;Hammamet;0,527;9027,74531960984
TS1158;El Haouaria;0,304;5400,23607700689
TS1156;Kelibia;0,38;7042,87190180208
TS115B;Menzel Bouzelfa;0,372;12876,593573438
TS1154;Menzel Temime;0,357;9353,43990076874
TS1150;Nabeul;0,523;5034,6459002825
TS115A;Soliman;0,478;3455,13848211964
TS1159;Takelsa;0,298;7026,70327398913
TS2146;Agareb;0,292;22233,9352211439
